Type,Scope,Fiscal Year,Posting Period,Company Code,Account,Document Number,Item,Customer,Supplier,Clearing Document,Clearing date,Profit Center,Trading partner,Reference,Payment Reference,Assignment,Document currency,Amount in doc. curr.,Amount in local currency,Valuated amount,Document Date,Posting Date,Document Header Text,Arrears after net due date,Text,Net due date,Group ID,Predicted_Group
AP,In Scope,2026,6,SC01,23100000,190678999,1,,44700111,190988129,2026-04-21 00:00:00,PR1331010,0,CLEARING2603-17,,104579258_71901225,CNY,41768.0,41768.0,41768.0,2026-03-31 00:00:00,2026-03-31 00:00:00,,29,,2026-03-23 00:00:00,38,0
AP,In Scope,2026,7,SC01,23100000,190988123,2,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,CLEARING0421009,,00000,CNY,-205653.01,-205653.01,-205653.01,2026-04-20 00:00:00,2026-04-21 00:00:00,,1,,2026-04-20 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,190988129,2,,44700111,190988129,2026-04-21 00:00:00,PR1331010,0,CLEARING0421017,,00000,CNY,-41768.0,-41768.0,-41768.0,2026-04-20 00:00:00,2026-04-21 00:00:00,,1,,2026-04-20 00:00:00,38,0
AP,In Scope,2026,8,SC01,23100000,191643252,1,,44700111,191671758,2026-05-31 00:00:00,PR1361010,0,CLEARING2652819,,101801639_I945805,CNY,64245.61,64245.61,64245.61,2026-05-29 00:00:00,2026-05-29 00:00:00,,11,,2026-05-20 00:00:00,264,1
AP,In Scope,2026,8,SC01,23100000,191671758,2,,44700111,191671758,2026-05-31 00:00:00,PR1361010,0,CLEARING2605-12,,00000,CNY,-64245.61,-64245.61,-64245.61,2026-05-31 00:00:00,2026-05-31 00:00:00,,0,,2026-05-31 00:00:00,264,1
AP,In Scope,2026,7,SC01,23100000,2111150654,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400127,,100694443_74617269,CNY,103.6,103.6,103.6,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512008513,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150660,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400130,,100932500_34442956,CNY,150.79,150.79,150.79,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010721,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150662,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400131,,100932500_34442956,CNY,301.58,301.58,301.58,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010721,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150666,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400133,,100162454_74617269,CNY,33.6,33.6,33.6,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010840,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150668,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400134,,100197944_74617269,CNY,17.86,17.86,17.86,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010840,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150670,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400135,,100206318_74617269,CNY,25.05,25.05,25.05,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010840,2026-04-02 00:00:00,101,-1
AP,In Scope,2026,7,SC01,23100000,2111150672,1,,44700111,190988123,2026-04-21 00:00:00,PP3101010,0,B1M260400136,,100608829_74617269,CNY,3.7,3.7,3.7,2026-04-02 00:00:00,2026-04-02 00:00:00,银行交易,19,4512010840,2026-04-02 00:00:00,101,-1
